loccode,x,y,prek_type,name,address,borough,zip,phone
KAYS,996233,178733,NYCEEC,Hawthorne Corners DCC,1950 Bedford Ave,K,11225,718-282-7200
KAYU,997056,181950,NYCEEC,"Bambi DCC, Inc.",300 Rogers Ave,K,11225,718-771-1603
KAZC,988008,166331,NYCEEC,Talmud Torah Ohr Moshe,1774 58th St,K,11204,718-234-6100
KAZM,990715,184947,NYCEEC,St. Francis Xavier,763 President St,K,11215,718-857-2559
KAZQ,1003046,188799,NYCEEC,Bedford Stuyvesant ECDC,281 Stuyvesant Ave,K,11221,718-455-5565
KAZT,1005666,193610,NYCEEC,Bushwick United HDFC 1,136 Stanhope St,K,11221,718-443-0134
KAZZ,1002163,189190,NYCEEC,Cornerstone DCC,289 Lewis Ave,K,11221,718-574-8300
KBAE,987750,154384,NYCEEC,Block Institute,133 27th Ave,K,11214,347-649-3601
KBAI,985107,169091,NYCEEC,Guild For Exceptional Children,1273 57 St,K,11219,718-435-2554
KBAW,994613,163502,NYCEEC,Bet Yaakov Ohr Sarah,1123 Ave N,K,11230,718-627-8758
KBAY,994746,159360,NYCEEC,Bet Yaakov Ateret Torah,2166 Coney Is Ave,K,11223,718-375-7100
KBAZ,1010873,182961,NYCEEC,Nat Azarow Children's Center,232 Powell St,K,11212,718-346-0924
KBBB,976957,167477,NYCEEC,Bambi Day Care IV,405 81st St,K,11209,718-332-8656
KBBE,987018,148546,NYCEEC,PAL Carey Gardens,2964 West 23rd St,K,11224,718-372-4044
KBBL,1017187,188019,NYCEEC,St. Peter's Preschool,109 Highland Pl,K,11208,718-647-1014
KBBO,1011999,173864,NYCEEC,Khyle Brenaj Kiddie Daycare Inc.,9718 Flatlands Ave,K,11236,718-896-8108
KBBY,1003622,173410,NYCEEC,Be Above #27,779 East 49 St,K,11203,347-997-2488
KBCV,997107,190731,NYCEEC,"Tabernacle Church Of God DCC, Inc.",34 Kosciuszko St,K,11205,718-638-3209
KBCZ,1020888,181987,NYCEEC,Pine Street Day Care,872 - 874 Cres St,K,11208,718-235-1150
KBDA,1018065,184170,NYCEEC,Urban Strategies 1,1091 Sutter Ave,K,11208,718-235-6151
KBDC,1019317,188487,NYCEEC,Cypress Hills CCC,108 Pne St,K,11208,718-647-5005
KBDJ,997245,170999,NYCEEC,Cortelyou Academy,2739 Bedford Ave,K,11210,718-421-9581
KBDN,1010240,173314,NYCEEC,"Raven's ECC, Inc.",1102 East 92nd St,K,11236,718-927-2316
KBDT,998081,179139,NYCEEC,Mary Bobb Learning Academy,1187 Nostrand Ave,K,11225,718-604-4400
KBDX,984552,173372,NYCEEC,BAbove Worldwide Institute - Tomer Devorah,4500 9 Ave,K,11220,347-402-5734
KBEB,1006606,193748,NYCEEC,New Life CDC 4,1307 Greene Ave,K,11237,718-366-1668
KBEP,983895,174718,NYCEEC,Brooklyn Chinese American Assoc. Day Care,713 43rd St,K,11232,718-851-0869
KBEQ,1021619,178530,NYCEEC,Brooklyn Developmental Center,888 Fountain Ave,K,11208,718-235-8800
KBES,1004804,193693,NYCEEC,Bushwick United HDFC 6,200 Central Ave,K,11221,718-453-5500
KBEZ,996138,182583,NYCEEC,Friends Of Crown Heights Educational Center #11,995 Carroll St,K,11225,929-234-5010
KBFC,1008674,186600,NYCEEC,Shirley Chisholm CCC Site 4 Somers,33 Somers St,K,11233,718-498-6200
KBFD,995491,174312,NYCEEC,St. Marks,2017 Beverley Rd,K,11226,718-287-7300
KBFN,988821,184821,NYCEEC,Strong Place For Hope DCC - 2nd Street,333 2nd St,K,11215,718-499-0747
KBFQ,980895,174833,NYCEEC,St. Andrews CDC,4917 Fourth Ave,K,11220,718-492-9678
KBGB,1006823,189849,NYCEEC,Traditional Educational Center,1469b Broadway,K,11221,718-443-2577
KBGC,988159,171649,NYCEEC,Yeled V'Yalda,1377 42nd St,K,11219,718-514-8930
KBGI,988054,173072,NYCEEC,Yeled V'Yalda 1257,1257 38th St,K,11218,718-514-8712
KBGJ,991727,170485,NYCEEC,Mevakshei Hashem,550 Ocean Pkwy,K,11226,718-435-8900
KBGP,1003385,171412,NYCEEC,Great Oaks Academy,4718 Farragut Rd,K,11203,718-915-3015
KBGS,1021389,184414,NYCEEC,Urban Strategies 5 - Georgia L Mcmurray ECDC,675 Lincoln Ave,K,11208,718-235-1215
KBGU,1008316,192998,NYCEEC,New Life CDC 1,295 Woodbine St,K,11237,718-821-3432
KBGY,1008189,193091,NYCEEC,"Kreative Kare DCC, Inc.",292 Palmetto St,K,11237,718-386-3242
KBIE,1001497,180679,NYCEEC,All My Children Day Care Site 16,739 East New York Ave,K,11203,718-493-1100
KBIS,989993,172288,NYCEEC,"Yeled V'Yalda ECC, Inc.",600 Mcdonald Ave,K,11218,718-514-8980
KBIZ,986780,170117,NYCEEC,Shalva UPK I,1363 50 St,K,11219,718-438-0060
KBJE,1001038,181711,NYCEEC,Be Above 37,570 Crown St,K,11213,718-774-4131
KBJF,1000976,201113,NYCEEC,Cooper Park CCC,292 Frost St,K,11222,718-389-5959
KBJH,998876,180599,NYCEEC,All My Children Day Care 10,420 Lefferts Ave,K,11225,718-576-6812
KBJI,998055,193639,NYCEEC,Marcy Children's Center,494 Marcy Ave,K,11206,718-855-7252
KBJJ,1001191,190131,NYCEEC,LSSMNY : Early Life Children's Center 8,265 Marcus Garvey Blvd,K,11221,347-689-8303
KBJL,1007616,180367,NYCEEC,Saratoga - Morris Koppelman Center,774 Saratoga Ave,K,11212,718-345-6666
KBJO,986692,170199,NYCEEC,"Yeled V'Yalda ECC, Inc.",1349 / 53 50th St,K,11219,718-854-6922
KBJP,1013469,181965,NYCEEC,PAL Arnold And Marie Schwartz Early Learn Center,452 Pennsylvania Ave,K,11207,718-342-4724
KBJQ,1017772,181780,NYCEEC,Friends Of Crown Heights Educational Center,921 Hegeman Ave,K,11208,929-234-2866
KBJR,1013858,180317,NYCEEC,Friends Of Crown Heights 19,370 New Lots Ave,K,11207,929-234-2838
KBJS,996876,183970,NYCEEC,Friends Of Crown Heights 10,1491 Bedford Ave,K,11216,929-234-2821
KBJU,1007906,187363,NYCEEC,Shirley Chisholm DCC Site 5 Advent Center,265 Sumpter St,K,11233,718-452-1200
KBJW,1009505,184191,NYCEEC,YWCA - NYC Brownsville ELC,1592 East New York Ave,K,11212,718-342-2905
KBJZ,1007192,188674,NYCEEC,Saratoga II - Shirley Chisholm Center,69 Saratoga Ave,K,11233,718-443-4100
KBKB,988947,189201,NYCEEC,Strong Place For Hope DCC - Atlantic,460 Atlantic Ave,K,11217,718-522-1351
KBKC,1018892,183179,NYCEEC,Friends Of Crown Heights 16,668 Logan St,K,11208,929-234-2870
KBKE,1006405,191310,NYCEEC,LSSMNY : Early Life Children's Center 9,1175 Gates Ave,K,11221,718-443-4500
KBKF,994313,196216,NYCEEC,Williamsburg CCC,110 Taylor St,K,11249,347-943-7682
KBKH,1000023,194589,NYCEEC,Bushwick United HDFC 9,741 Flushing Ave,K,11206,347-497-3676
KBKJ,983837,185141,NYCEEC,Strong Place For Hope DCC - Clinton St.,595 Clinton St,K,11231,718-624-2993
KBKK,1003982,184593,NYCEEC,Friends Of Crown Heights 29,1435 Prospect Pl,K,11213,718-778-1498
KBKP,997157,181800,NYCEEC,All My Children # 11,317 Rogers Ave,K,11225,718-576-6812
KBKQ,996498,178302,NYCEEC,Parkside ECDC,525 Parkside Ave,K,11226,718-722-6236
KBKU,1017610,185022,NYCEEC,Friends Of Crown Heights 15,2505 Pitkin Ave,K,11208,718-638-8686
KBKV,994869,194894,NYCEEC,United Academy - Wythe Avenue,722 Wythe Ave,K,11249,718-935-9848
KBKW,986662,172538,NYCEEC,Baais Yaakov Faigeh Of Schonberger Of Adas Yereim,1169 43rd St,K,11219,718-435-5111
KBKY,997762,178269,NYCEEC,"Infant And Child Learning Center, The",670 Parkside Ave,K,11226,718-675-1249
KBLA,998366,175635,NYCEEC,"The Little Darlings DCC, Inc.",1531 Nostrand Ave,K,11226,718-469-6207
KBLB,1018073,186044,NYCEEC,Friends Of Crown Heights 18,851 Liberty Ave,K,11208,929-234-2955
KBLF,998021,187871,NYCEEC,"Bambi DCC, Inc.",138 Hancock St,K,11216,718-771-1603
KBLI,994766,187859,NYCEEC,Young Minds DCC,972 Fulton St,K,11238,718-622-8622
KBLJ,1004240,180994,NYCEEC,"Community Parents, Inc.",60 East 93rd St,K,11212,718-221-2531
KBLK,995035,189232,NYCEEC,Bedford Stuyvesant ECDC 5Q,5 Quincy St,K,11238,718-453-0788
KBLL,989926,190175,NYCEEC,Northside Center For Child Development,44 - 60 Rockwell Pl,K,11201,347-505-5517
KBLM,997939,190854,NYCEEC,"Salvation Army, Bedford",110 Kosciusko St,K,11216,718-552-2690
KBLP,1006862,195405,NYCEEC,Grand Street Settlement Dual #3,319 Stanhope St,K,11237,718-381-8900
KBLS,1000711,193640,NYCEEC,Sumner Children's Center,860 Park Ave,K,11206,718-455-3471
KBLT,999230,193457,NYCEEC,Tompkins Children's Center,730 Park Ave,K,11206,718-782-9140
KBLU,998837,197692,NYCEEC,Stagg Street Center For Children,77 Stagg St,K,11206,718-388-1395
KBLW,998991,198004,NYCEEC,Bushwick United HDFC 4,178 Leonard St,K,11206,347-269-8152
KBLY,999969,197833,NYCEEC,Graham CCC,222 Graham Ave,K,11206,718-387-9482
KBMA,996008,192887,NYCEEC,Tiferes Bnos,80 Skillman St,K,11205,718-599-2900
KBMB,1010815,190492,NYCEEC,Audrey Johnson DCC,272 Moffat St,K,11207,718-574-0130
KBMC,999340,199081,NYCEEC,Small World,211 Ainslie St,K,11211,718-963-0330
KBME,995956,198655,NYCEEC,Nuestros Ninos DCC II,243 South 2nd St,K,11211,718-218-8275
KBMG,997350,199773,NYCEEC,Williamsburg Northside Pre - School,299 North 7th St,K,11211,718-599-7300
KBMM,982644,171900,NYCEEC,Brooklyn Chinese - American Assoc.,812 54th St,K,11220,718-438-0008
KBMN,989580,184175,NYCEEC,Brooklyn Free Space,298 Sixth Ave,K,11215,718-965-3135
KBMO,988487,180754,NYCEEC,Chick Peas Child Care,451 7th Ave,K,11215,347-878-8732
KBMP,981212,176356,NYCEEC,Bay Ridge CCC,314 - 44th St,K,11220,718-768-5030
KBMQ,990971,189050,NYCEEC,"Hanson Place CDC, Inc.",55 Hanson Pl,K,11217,718-237-4303
KBMU,986915,182329,NYCEEC,A.C.E. ECC,199 14th Street2nd Floor,K,11215,718-439-0450
KBMX,986644,190766,NYCEEC,A Fantis Parochial School,195 State St,K,11201,718-624-0501
KBMZ,986956,188923,NYCEEC,Warren Street Center,343 Warren St,K,11201,718-237-9578
KBNA,981214,175525,NYCEEC,Sunset Park Children's School,4616 4th Ave,K,11220,718-439-3323
KBNB,988465,179376,NYCEEC,"Therapy And Learning Center, Inc.",1723 8th Ave,K,11215,718-290-2750
KBNC,985463,172802,NYCEEC,Nesivos Bais Yaakov,1021 45th St,K,11219,718-972-0804
KBNG,1001199,189969,NYCEEC,Bedford - Stuyvesant ECDC,275 Marcus Garvey Blvd,K,11221,718-453-0500
KBNI,1002766,189860,NYCEEC,Bedford - Stuyvesant ECDC,214 Stuyvesant Ave,K,11221,718-453-0605
KBNJ,998867,188269,NYCEEC,Bedford Stuyvesant ECDC 260,260 Jefferson Ave,K,11216,718-453-0722
KBNK,997668,189692,NYCEEC,Bedford Stuyvesant ECDC 262,262 Lexington Ave,K,11216,718-453-0760
KBNL,1005651,189151,NYCEEC,Bedford Stuyvesant ECDC 265,813 Hancock St,K,11233,718-455-5565
KBNN,1001863,191894,NYCEEC,Bedford - Stuyvesant ECDC,971 Dekalb Ave,K,11221,718-453-0681
KBNO,995371,190628,NYCEEC,Billy Martin CDC,333 Classon Ave,K,11205,718-857-5630
KBNP,1003712,187088,NYCEEC,Community Parents Head Start,90 Chauncey St,K,11233,718-771-4002
KBNR,1001889,191976,NYCEEC,Mary McLeod Bethune CDC,360 Pulaski St,K,11206,718-455-5137
KBNT,1006160,185664,NYCEEC,Shirley Chisholm DCC Site 1,2023 Pacific St,K,11233,718-756-1721
KBNU,988971,178479,NYCEEC,Stanley S Lamm Institute Preschool,500 19th St,K,11215,718-237-8833
KBNV,999342,184615,NYCEEC,Friends Of Crown Heights #16,963 Park Pl,K,11213,718-778-8558
KBOA,987728,192587,NYCEEC,Our Children's Center,300 Jay St Room G309,K,11201,718-260-5192
KBOB,1001112,184847,NYCEEC,196 Albany Avenue DCC,196 Albany Ave,K,11213,718-773-0071
KBOF,996962,185166,NYCEEC,Friends Of Crown Heights 2,671 Prospect Pl,K,11216,718-638-8686
KBOI,999222,176394,NYCEEC,Joan Watkins Corp. D / B / A Pre - School Minds DCC,3316 - 18 Church Ave,K,11203,718-284-9392
KBOL,994507,177625,NYCEEC,"Phebeana Preschool, Inc.",160 Parkside Ave,K,11226,718-284-8147
KBON,999615,177570,NYCEEC,The Children's Center @ SUNY Brooklyn,440 Lenox Rd,K,11203,718-221-6160
KBOP,1005645,180421,NYCEEC,Traditional DCC,1112 Winthrop St,K,11212,917-306-2070
KBOQ,1004501,175992,NYCEEC,Yeled V'Yalda 407,407 East 53rd St,K,11203,718-514-8712
KBOS,1009103,188988,NYCEEC,John Coker DCC,1375 Bushwick Ave,K,11207,718-452-1414
KBOW,1000942,176919,NYCEEC,Friends Of Crown Heights,141 East 40th St,K,11203,718-284-2184
KBOZ,1018537,183743,NYCEEC,Blake & Milford DCC,334 Milford St,K,11208,718-277-2003
KBPA,1016595,180222,NYCEEC,Boulevard Nursery School,2150 Linden Blvd,K,11207,718-649-2295
KBPB,1013270,175635,NYCEEC,Breukelen ECDC,717 East 105th St,K,11236,718-649-1463
KBPC,1021815,182930,NYCEEC,Marie Durdin CCC,2700 Linden Blvd,K,11208,718-647-4730
KBPD,1019855,183139,NYCEEC,Sylvia Klein CCC,720 Euclid Ave,K,11208,718-647-2274
KBPG,1011979,182425,NYCEEC,Help I,515 Blake Ave,K,11207,718-498-4002
KBPI,1013260,175749,NYCEEC,Breukelen Head Start,715 East 105th St,K,11236,718-649-2960
KBPJ,1017280,175475,NYCEEC,Recreation Rooms And Settlement Starrett Early Learning,125 Schrooeders Ave,K,11239,718-642-8724
KBPK,1015693,181520,NYCEEC,United Community DCC,613 New Lots Ave,K,11207,718-385-1201
KBPL,1017012,175603,NYCEEC,Recreation Rooms And Settlement Starrett Early Learning,1325 Pennsylvania Ave,K,11239,718-642-8724
KBPN,987427,170925,NYCEEC,Beth Jacob DCC,1363 46th St,K,11219,718-435-5755
KBPO,977227,161359,NYCEEC,"Brooklyn Child Care, Inc.",800 Poly Pl Building 2,K,11209,718-630-2831
KBPP,977969,174172,NYCEEC,Georgia L Mcmurray Bat Kids Center,140 58th St,K,11220,718-567-0818
KBPQ,987214,163824,NYCEEC,Generation21 Day Care,6709 19th Ave,K,11204,718-621-9321
KBPR,982328,171307,NYCEEC,"Long Xing DCC, Inc.",825 57th St Fl 3,K,11220,718-853-8989
KBPS,988846,168799,NYCEEC,Mother Love,"1681 49 St, #1f",K,11204,718-853-1408
KBPT,975747,163419,NYCEEC,NYL - William O'Connor,420 95th St,K,11209,718-680-9751
KBPU,976961,167660,NYCEEC,Our Saviour's Lutheran Preschool,414 80th St,K,11209,718-745-0020
KBPV,982762,166091,NYCEEC,Ring Around The Rosie,7104 13th Ave,K,11228,718-492-7464
KBPY,977839,165548,NYCEEC,Smart Start ECC,8411 Ft Hamilton Pkwy,K,11209,718-921-1868
KBPZ,982127,170308,NYCEEC,"Star America, Inc.",880 60th St,K,11220,718-431-2545
KBQA,975123,166067,NYCEEC,"Tiny Tots Playhouse, LLC, The",243 88 St,K,11209,718-745-4509
KBQB,981579,171103,NYCEEC,"Long Xing DCC, Inc.","762 59th St, 2 / F & 3 / F",K,11220,718-853-8989
KBQE,993473,150264,NYCEEC,Buratino International Day Care,2962 Brighton 1st St,K,11235,718-368-2113
KBQF,995871,150512,NYCEEC,Cinderella Day Care,130 Brighton 11th St,K,11235,718-743-1841
KBQG,994935,149503,NYCEEC,M.S. Sunshine DCC,3096 Brighton 6th St,K,11235,718-648-8786
KBQH,991725,157710,NYCEEC,Magen David Yeshivah,2170 Mcdonald Ave,K,11223,718-676-0215
KBQI,995420,164264,NYCEEC,"Red Hat DCC, Inc.",1317 East 15th St,K,11230,718-336-1480
KBQK,993771,158685,NYCEEC,Sephardic Community Center,1901 Ocean Pkwy,K,11223,718-627-4300
KBQL,995417,148981,NYCEEC,Shorefront YM - YWHA,3300 Coney Is Ave,K,11235,718-646-1444
KBQN,989171,154925,NYCEEC,Friends Of Crown Heights 6,49 Ave W,K,11223,718-372-8189
KBQP,986901,154500,NYCEEC,Shore Parkway Head Start,8885 26th Ave,K,11214,718-265-2359
KBQQ,1000882,157918,NYCEEC,Bambi Day Care III,2114 Brown St,K,11229,718-368-1817
KBQU,996250,160871,NYCEEC,Keshet Learning Center,1612 Quentin Rd,K,11229,718-376-6958
KBQV,998090,155851,NYCEEC,Fantasia DCC,2743 Ocean Ave,K,11229,718-646-6738
KBQW,1002127,177457,NYCEEC,Get Set Kindergarten School - Linden,623 Linden Blvd,K,11203,718-856-4646
KBQX,995253,173640,NYCEEC,Get Set Kindergarten School Site - Cortelyou,1919 Cortelyou Rd,K,11226,718-856-4646
KBQY,996625,175651,NYCEEC,Get Set Kindergarten School Site - Snyder,2301 Snyder Ave,K,11226,718-856-4646
KBRA,1004161,193357,NYCEEC,Bushwick United HDFC 7,600 Hart St,K,11221,718-443-0134
KBRB,1002772,161157,NYCEEC,Infinity UPK,1972 East 34th St,K,11234,718-336-1981
KBRD,1000562,157414,NYCEEC,"Kingsbay YM - YWHA, Inc.",3495 Nostrand Ave,K,11229,718-648-7703
KBRH,993554,170338,NYCEEC,Nayema Universal Child Center,1107 Newkirk Ave,K,11230,718-462-3688
KBRI,1001586,165017,NYCEEC,Rainbow DCC,3846 Flatlands Ave,K,11234,718-377-2918
KBRL,1000484,164353,NYCEEC,"Tiny Tots Express, Inc.",3321 Ave N,K,11234,718-338-9561
KBRP,998493,172268,NYCEEC,Friends Of Crown Heights Educational Center #5,1886 Nostrand Ave,K,11226,718-284-9194
KBRT,1010265,180170,NYCEEC,Salvation Army - Brownsville DCC,280 Riverdale Ave 1,K,11212,718-345-2488
KBRZ,1006609,192524,NYCEEC,Bushwick United HDFC 3,331 Central Ave,K,11221,718-453-9040
KBSA,1004288,195057,NYCEEC,Bushwick United HDFC 2,77 Wilson Ave,K,11237,718-821-2345
KBSB,1006406,190170,NYCEEC,"HCHC, Inc.",1419 Broadway,K,11221,718-443-3917
KBSC,1008501,194797,NYCEEC,New Life CDC 3,408 Grv St,K,11237,718-417-4214
KBSD,1007190,190417,NYCEEC,"Salvation Army, Bushwick",1151 Bushwick Ave,K,11221,718-455-0100
KBSI,997721,184380,NYCEEC,Friends Of Crown Heights 9,813 Sterling Pl,K,11216,718-773-7733
KBSL,998137,170247,NYCEEC,Charles R Drew ELC 5,2804 Glenwood Rd,K,11210,718-740-2400
KBTA,1004502,185396,NYCEEC,Bedford Stuyvesant ECDC 133,133 Kings First Walk,K,11233,718-453-0828
KBTB,1016019,181750,NYCEEC,Brightside Academy - Barbey,683 Barbey St,K,11207,718-257-2222
KBTC,1009679,182868,NYCEEC,Brightside Academy - Belmont,50 Belmont Ave,K,11212,718-346-1064
KBTE,1007026,189699,NYCEEC,Brightside Academy - Broadway,1491 Broadway,K,11221,718-455-1612
KBTH,1000255,191478,NYCEEC,Brightside Academy - Dekalb Ave,844 Dekalb Ave,K,11221,718-574-3710
KBTL,989272,171548,NYCEEC,Gan Yisroel,3909 15th Ave,K,11218,718-853-9853
KBUA,1004969,186076,NYCEEC,BCS Atlantic Avenue ELC,1825 Atlantic Ave,K,11233,347-296-4980
KBUF,999521,163428,NYCEEC,Butterfly,2810 Nostrand Ave,K,11229,718-677-9343
KBUJ,984437,174480,NYCEEC,Brooklyn Chinese American Assoc. - Bay Ridge DCC,4202 8th Ave,K,11232,718-438-0008
KBUL,988328,163974,NYCEEC,Brooklyn Chinese American Assoc.,6409 20 Ave,K,11204,718-331-8809
KBUM,998301,171133,NYCEEC,Bumble Bees R Us 3,2813 Farragut Rd,K,11210,718-434-2337
KBUV,990467,185964,NYCEEC,Helen Owen Carey CDC,71 Lincoln Pl,K,11217,718-638-4100
KBUW,1014559,185982,NYCEEC,St. Malachy ECDC,220 Hendrix St,K,11207,718-647-0966
KBVB,1008455,194743,NYCEEC,New Life CDC 2,406 Grv St,K,11237,718-366-1668
KBVC,997413,197193,NYCEEC,Nuestros Ninos DCC I,384 South 4th St,K,11211,718-218-8275
KBVD,994991,198771,NYCEEC,Nuestros Ninos DCC III,161 South 3rd St,K,11211,718-388-5000
KBVE,1019142,178427,NYCEEC,Urban Strategies 3,1152 Elton St,K,11239,718-348-9349
KBVG,983142,172852,NYCEEC,Brooklyn Chinese - American Assoc.,5002 8 Ave,K,11220,718-438-0008
KBVJ,996646,191717,NYCEEC,Bnos Square Of Williamsburg,382 Willoughby Ave,K,11205,718-797-9844
KBVL,997614,182305,NYCEEC,Ella Baker Charles Romain CDC Of Medgar Evers,1150 Carroll St,K,11225,718-270-6018
KBVO,994805,159373,NYCEEC,"Yeled V'Yalda ECC, Inc.",2166 Coney Is Ave,K,11223,718-732-7770
KBVR,983514,174356,NYCEEC,"United Methodist City Society, The",4419 7th Ave,K,11220,718-435-6540
KBVT,996553,196720,NYCEEC,Yeshiva Headstart Keap Street,274 Keap St,K,11211,718-486-6500
KBVV,997316,169422,NYCEEC,"Brooklyn College Child Care Services, Inc.",2900 Bedford Ave,K,11210,718-951-5431
KBVX,999237,183401,NYCEEC,Yeled V'Yalda 667,667 Eastern Pkwy,K,11213,718-514-8712
KBVZ,999090,187012,NYCEEC,Little Sun People,1360 Fulton St,K,11216,718-789-7330
KBWC,980400,171927,NYCEEC,Sunset Park ECC,5902 6 Ave,K,11220,718-722-6236
KBWD,1002717,192915,NYCEEC,Child Prodigy Learning Inc.,1001 Broadway,K,11221,718-574-7558
KBWE,1005522,182307,NYCEEC,Inner Force Tots,1181 East New York Ave,K,11212,718-221-1246
KBWG,984471,149969,NYCEEC,Life - Coney Island,2757 West 33rd St,K,11224,718-942-4494
KBWH,995245,197276,NYCEEC,Jonathan Williams,321 Roebling St,K,11211,718-387-5011
KBWQ,986177,148311,NYCEEC,Family Head Start Coney Island,2960 West 27th St,K,11224,718-265-7760
KBWT,997570,192432,NYCEEC,Our Children The Leaders Of Tomorrow 1,756 Myrtle Ave,K,11206,718-643-8201
KBWV,1005321,183387,NYCEEC,St. Johns Place Family Center Day Care Program,1620 Saint Johns Pl,K,11233,718-771-7720
KBWW,993758,196868,NYCEEC,Williamsburg Y Head Start,64 Division Ave,K,11249,718-387-0229
KBXK,997420,177902,NYCEEC,Brightside Academy - Clarkson,210 Clarkson Ave,K,11226,718-941-1802
KBXL,1006362,190197,NYCEEC,A.C.E. Integration Head Start,1419 - 23 Broadway,K,11221,718-443-3917
KBXQ,998563,169552,NYCEEC,"Gan, Inc. - Gan Jewish Day Care",2901 Campus Rd,K,11210,718-338-7575
KBXS,997465,176822,NYCEEC,"Roger Day Care, Inc.",775 Rogers Ave,K,11226,718-703-4312
KBXT,997026,172434,NYCEEC,"New Generation Learning Center, Inc.",2597 Bedford Ave,K,11226,718-941-0404
KBXU,992520,164995,NYCEEC,Yeled V?yalda,1200 Ocean Pkwy,K,11230,718-514-8928
KBXV,1006863,171572,NYCEEC,Yeled V'Yalda 6012,6002 Farragut Rd,K,11236,718-209-1122
KBYC,983635,147991,NYCEEC,YWCA - NYC Roberta Bright ELC,3001 W 37th St,K,11224,718-373-1100
KBYF,987115,160171,NYCEEC,Edith And Karl Marks JCH Of Bensonhurst,7802 Bay Pkwy,K,11214,718-943-6333
KBYG,981319,171601,NYCEEC,Happy Dragon Children And Family Center,5805 7th Ave,K,11220,347-610-1802
KBYJ,987482,184948,NYCEEC,"Al Madinah School, Inc.",383 3rd Ave,K,11215,718-222-4986
KBYM,1005874,181647,NYCEEC,Friends Of Crown Heights 26,20 Sutter Ave,K,11212,718-467-4270
KBYN,982352,184903,NYCEEC,Bumble Bee R Us - Lorraine Street,76 Lorraine St,K,11231,855-532-9227
KBYQ,980791,172187,NYCEEC,Bumble Bees R Us 8,5721 6th Ave,K,11220,718-676-0080
KBZG,982748,166075,NYCEEC,Ring Around The Rosie,7106 13th Ave,K,11228,718-492-7464
KBZU,1000909,189948,NYCEEC,Bedford Stuyvesant ECDC 510,510 Quincy St,K,11221,718-455-4806
KBZX,999445,165995,NYCEEC,Yeshiva Torah Vodaath Preschool,1192 East 31st St,K,11210,718-941-8000
KCAD,996861,174261,NYCEEC,Higher Level,2401 Beverley Rd,K,11226,718-856-4064
KCAK,984073,163035,NYCEEC,Kindstart Preschool,7702 New Utrecht Ave,K,11214,917-834-4776
KCAP,999360,179703,NYCEEC,"Little Stars Daycare Center, Inc.",588 Brooklyn Ave,K,11203,718-673-3092
KCBR,989006,157299,NYCEEC,Yde,49 Ave T,K,11223,718-232-0100
KCDI,987479,170870,NYCEEC,Beth Jacob Of Borough Park,1371 46 St,K,11219,718-436-7300
KCDM,997337,152095,NYCEEC,Butterfly DCC,2770 East 16th St,K,11235,718-646-6272
KCEB,983756,172508,NYCEEC,Brooklyn Chinese - American Assoc.,871 50th St,K,11220,718-438-0008
KCEC,1008575,191854,NYCEEC,Kreative Kare DCC,455 Wilson Ave ( Ground Floor ),K,11221,718-443-1333
KCED,985130,148137,NYCEEC,Sunshine Center Of Coney Island,2929 W31st St,K,11224,718-996-7200
KCEG,987478,194940,NYCEEC,Imagine Dumbo - Adams,85 Adams St,K,11201,718-522-2263
KCEH,986272,192646,NYCEEC,Imagine Brooklyn Heights,50 Monroe Pl,K,11201,718-624-7520
KCEI,1002078,158034,NYCEEC,Bambi Day Care II,2121 Bragg St,K,11229,718-648-3332
KCFA,1010105,179731,NYCEEC,SCO Family Of Services,225 Newport St,K,11212,929-234-6870
KCFR,982331,184909,NYCEEC,Bubble Bee Day Care,76 Lorraine St,K,11231,718-676-0080
KCFV,1004246,176982,NYCEEC,Magic Kingdom LLC,5215 Church Ave,K,11203,347-793-0180
KCGN,1007553,180354,NYCEEC,SCO Family Of Services,774 Saratoga Ave,K,11212,718-345-6666
KCGO,1002181,150120,NYCEEC,CDC Of Kingsborough,1915 Oriental Blvd,K,11235,718-368-5868
KCGP,1005765,173846,NYCEEC,Birch Family Services Nazareth ECC,475 East 57th St,K,11203,212-616-1851
KCGR,984537,174612,NYCEEC,Brooklyn Chinese American Assoc.,4116 8th Ave,K,11232,718-438-0008
KCGT,987606,160196,NYCEEC,Gold Material Montessori School,105 Kings Hwy,K,11214,718-801-2155
KCHJ,1000435,184294,NYCEEC,"Arista Prep, Inc.",221 Kingston Ave,K,11213,718-756-5550
KCHM,989100,187600,NYCEEC,Alonzo A Daughtry Memorial DCC Inc.,565 Baltic St,K,11217,718-596-1993
KCHN,998107,172467,NYCEEC,Friends Of Crown Heights,2805 Newkirk Ave,K,11226,917-966-4400
KCHP,1002387,185783,NYCEEC,Weeksville Gardens,1640 Pacific St,K,11213,718-623-9803
KCHR,1002981,176464,NYCEEC,"Apple Tree Day Care, Inc.",440 East 48th St,K,11203,718-287-7488
KCHT,1013935,185723,NYCEEC,"Baybee Lounge Daycare, Inc.",2745 Atlantic Ave,K,11207,347-955-4783
KCHU,1006121,153905,NYCEEC,Infinity UPK Of Gerritsen Avenue,2934 - 2936 Gerritsen Ave,K,11229,718-336-1981
KCHV,981943,173649,NYCEEC,"New York Creative Childcare, Inc.",5015 6th Ave,K,11220,718-686-0388
KCHX,983726,149443,NYCEEC,Dezzenterprise LLC,3524 Neptune Ave,K,11224,917-207-2438
